Dataset,Sample1,Sample2,Incoherent_Sample
incoherent_sentences_arg2_diff_sense.json,"The market was dragged up by the scruff of its neck by Wall Street and by market makers getting caught short. But that way, they can be home in time for work Sunday. 
","The market was dragged up by the scruff of its neck by Wall Street and by market makers getting caught short. But no one wants stock on their books. 
",1
incoherent_sentences_arg2_diff_sense.json,"I don't know whose toes I've stepped on. But the appeals court said there was no evidence that Congress intended to allow the pension agency to consider a company's creation of new benefit plans as a basis for ordering that company to reassume liability for old plans. 
","I don't know whose toes I've stepped on. But i'll find out, eventually, who pushed the state police buttons into action. 
",1
incoherent_sentences_arg2_diff_sense.json,"That would be a formula for ensuring even more FHA red ink. Because many members feel there are important features of the House bill that should be enacted. 
","That would be a formula for ensuring even more FHA red ink. Because experience has shown that the most important element in predicting a housing-loan default is the down payment. 
",1
incoherent_sentences_arg2_diff_sense.json,"The mint purchases were at premiums about 4 1/2 cents a pound above the respective prices for the copper. However at the time merchants were asking for premiums of about five cents a pound. 
","The mint purchases were at premiums about 4 1/2 cents a pound above the respective prices for the copper. However mcCaw to escalate the bidding again. 
",2
incoherent_sentences_arg2_diff_sense.json,"That isn't surprising. Because the glitzy office that Ivan Boesky vacated for a prison cell had previously contained commodity operators Marc Rich and ""Pinky"" Green, today fugitives from a potential century apiece of jail sentences. 
","That isn't surprising. Because regular TV series ratings have slumped in the past five years, and premiering new shows is ""a crap shoot. 
",1
incoherent_sentences_arg2_diff_sense.json,"Even the boon to affiliate relations may be limited. Because without Moscow's military and party behind it, East Germany runs the risk of disintegrating. 
","Even the boon to affiliate relations may be limited. Because the sports lineup may add only 1% to 5% to a station's annual profits. 
",1
incoherent_sentences_arg2_diff_sense.json,"Fujisawa continued to attract investors because of strong earning prospects stemming from a new immune control agent. Consequently fujisawa gained 50 to 2,060. 
","Fujisawa continued to attract investors because of strong earning prospects stemming from a new immune control agent. Consequently for more than the past year, even the rumor of a major West Coast refinery shutdown has been enough to spark a futures rally because the gasoline market is so tight. 
",2
incoherent_sentences_arg2_diff_sense.json,"And they're leaning more toward fixed income, whose returns after tax have trailed tuition increases. Therefore i'm not sure they're going to make it work. 
","And they're leaning more toward fixed income, whose returns after tax have trailed tuition increases. Therefore by midmorning, the DJIA had plunged 80 points. 
",2
incoherent_sentences_arg2_diff_sense.json,"Heidi Ehman might have stepped from a recruiting poster for young Republicans. Because it's a bottom-line issue. 
","Heidi Ehman might have stepped from a recruiting poster for young Republicans. Because white, 24 years old, a singer in her church choir, she symbolizes a generation that gave its heart and its vote to Ronald Reagan. 
",1
incoherent_sentences_arg2_diff_sense.json,"In only one presidential election year prior to 1948 did more than 20% of the nation's congressional districts choose a different party's candidate for the White House than for the House of Representatives. But why should you beat your brains out fighting the environmentalists, the neighborhood groups, dealing with traffic mitigation, sewers and fighting city hall, then try to convince a lender to lend you money in an overbuilt market when you can get pension fund money, buy a portfolio, sell off pieces off it and play your own game. 
","In only one presidential election year prior to 1948 did more than 20% of the nation's congressional districts choose a different party's candidate for the White House than for the House of Representatives. But now that percentage routinely equals a third and twice has been above 40%. 
",1
